"","playId","gameId.x","avg_linemen_dist","avg_qb_dist","avg_area","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","penaltyYards","prePenaltyPlayResult","playResult","foulName1","foulNFLId1","foulName2","foulNFLId2","foulName3","foulNFLId3","absoluteYardlineNumber","offenseFormation","personnelO","defendersInBox","personnelD","dropBackType","pff_playAction","pff_passCoverage","pff_passCoverageType","gameId.y","hit","hurry","sack","bad_thing"
"1",100,2021091205,2.12869146992014,68.8300370100105,94.8901636363637,"(14:25) (Shotgun) Ty.Taylor pass incomplete short right to N.Collins.",1,3,4,"HOU","JAX","HOU",31,"14:25",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,79,"SHOTGUN","2 RB, 1 TE, 2 WR",6,"1 DL, 4 LB, 6 DB","TRADITIONAL",0,"Cover-3","Zone",2021102402,1,1,0,"1"
"2",100,2021091207,2.14965211489362,74.6031557010763,122.060681081081,"(13:42) (Shotgun) R.Tannehill pass incomplete short right to C.Rogers (B.Murphy).",1,3,10,"TEN","ARI","TEN",25,"13:42",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,35,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021102402,1,1,0,"1"
"3",100,2021091211,2.42229131672687,59.3606094569855,108.744270588235,"(13:51) (Shotgun) J.Winston scrambles left end to GB 49 for 11 yards (K.Barnes).",1,1,10,"NO","GB","NO",40,"13:51",0,0,"R",NA,11,11,NA,NA,NA,NA,NA,NA,50,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"3 DL, 4 LB, 4 DB","SCRAMBLE",1,"Quarters","Zone",2021102402,1,1,0,"1"
"4",1004,2021091212,2.29988144056725,36.5250138981549,218.683757246377,"(9:07) (Shotgun) D.Jones pass deep left to S.Shepard for 37 yards, TOUCHDOWN.",2,1,10,"NYG","DEN","DEN",37,"09:07",0,3,"C",NA,37,37,NA,NA,NA,NA,NA,NA,47,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021091212,0,0,0,"0"
"5",1013,2021091300,2.40901783891719,76.4020250336337,105.040480701754,"(14:20) (Shotgun) L.Jackson pass incomplete short middle to S.Watkins.",2,3,7,"BAL","LV","BAL",23,"14:20",0,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,87,"SHOTGUN","1 RB, 1 TE, 3 WR",4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021103107,0,1,0,"1"
"6",1020,2021091210,2.45130371889354,13.5281876544882,338.323353061224,"(12:15) M.Jones pass incomplete short left. thrown away from outside the pocket",2,1,10,"NE","MIA","MIA",14,"12:15",0,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,96,"SINGLEBACK","2 RB, 1 TE, 2 WR",6,"3 DL, 4 LB, 4 DB","SCRAMBLE",0,"Red Zone","Other",2021101709,0,1,1,"1"
"7",1021,2021091202,2.54520025747013,70.798379925645,117.982357894737,"(14:21) (Shotgun) S.Darnold pass deep right to Dj.Moore pushed ob at NYJ 45 for 26 yards (S.Redwine) [N.Shepherd].",2,2,9,"CAR","NYJ","CAR",29,"14:21",0,0,"C",NA,26,26,NA,NA,NA,NA,NA,NA,39,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone",2021103112,1,1,0,"1"
"8",1023,2021091200,2.16868396702027,12.737577681378,263.86684137931,"(:09) (Shotgun) M.Ryan pass incomplete short right to K.Pitts.",1,1,12,"ATL","PHI","PHI",12,"00:09",3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,98,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021092300,0,0,0,"0"
"9",1026,2021091204,2.51697788080935,72.9316004656741,95.9715488372093,"(12:51) J.Garoppolo pass deep middle to D.Samuel to DET 46 for 29 yards (J.Okudah).",2,2,7,"SF","DET","SF",25,"12:51",7,7,"C",NA,29,29,NA,NA,NA,NA,NA,NA,85,"I_FORM","2 RB, 1 TE, 2 WR",7,"5 DL, 2 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",2021092605,0,0,0,"0"
"10",1040,2021091206,2.94318224652723,66.4905086242005,195.149851162791,"(11:16) C.Wentz pass deep right to P.Campbell to SEA 44 for 24 yards (Q.Diggs).",2,1,10,"IND","SEA","IND",32,"11:16",3,14,"C",NA,24,24,NA,NA,NA,NA,NA,NA,42,"SINGLEBACK","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",2021091206,0,0,0,"0"
